Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
133,2008-04-21,32.13319778442383,32.688815332782376,31.79365523895341,32.10233142211434,7639361
134,2008-04-22,32.65795135498047,33.028364500237764,31.793659598299104,32.10233582378377,8814769
135,2008-04-23,32.68880844116211,33.07465358876745,32.2566627131817,32.7196768903081,5265604
136,2008-04-24,31.531280517578125,33.09009570430152,31.25347278239132,33.0283608846316,8801780
137,2008-04-25,31.79365348815918,32.24123351042659,31.361505599524534,32.10232965432211,4095990
138,2008-04-28,31.917131423950195,32.5344839169465,31.793661762688842,31.824528131331796,4708244
139,2008-04-29,32.364707946777344,32.67338415878884,31.947996316568535,32.10233442257429,6497143
140,2008-04-30,32.580780029296875,32.997493742014136,32.41100979178083,32.68881753802934,6331377
141,2008-05-02,32.874019622802734,33.80004810870206,32.81228271573409,33.074658290743244,5658418
142,2008-05-05,32.71968078613281,33.49137117322611,32.503605803071366,33.30616464298606,7642293
143,2008-05-06,32.44187545776367,33.09009630951462,32.25667099536657,32.45730968629954,5061166
144,2008-05-07,31.97885513305664,32.62707586260413,31.484974566426974,32.41100298386964,4303106
145,2008-05-08,31.59300994873047,31.917120313397607,31.40780552130928,31.731913792632376,3642073
146,2008-05-09,31.40781021118164,32.225801264459925,30.929361705548672,31.176303072328043,8621761
147,2008-05-12,31.40781021118164,31.63931735003523,30.713286701276502,31.407810211181637,4890395
148,2008-05-13,31.500411987304688,31.731919130533026,31.238038480985875,31.54671467195699,5056766
149,2008-05-14,31.54670524597168,31.716477518947634,30.86761824741163,30.86761824741163,2982486
150,2008-05-15,31.562149047851562,31.917125831791502,30.867627614916927,30.867627614916927,2646760
151,2008-05-16,31.80908966064453,31.90169294092025,31.423244403949454,31.79365752505232,4422288
152,2008-05-20,31.74735450744629,31.870826244308876,31.42324407653064,31.484980991634167,3464912
153,2008-05-21,31.947994232177734,32.41100851998643,31.021965656560337,31.021965656560337,3419088
154,2008-05-22,31.51583480834961,31.670172847972434,31.176292377185572,31.176292377185572,3558000
155,2008-05-23,30.991100311279297,31.762790868431658,30.867630659472766,31.33064499376418,4417028
156,2008-05-26,30.759593963623047,30.944800539611688,29.324248233072773,29.324248233072773,2605807
157,2008-05-27,29.83355712890625,31.14543075301062,29.694653281493434,30.805886154140087,3316550
158,2008-05-28,30.92935562133789,31.11456003998201,29.4168413556859,29.94159034852682,4505700
159,2008-05-29,31.438678741455078,31.793657634847115,30.52808435117899,31.25347427360856,11026212
160,2008-05-30,30.435482025146484,31.639320523955682,30.312012376043036,31.515848781507668,4023430
161,2008-06-02,29.139047622680664,30.867635583802304,28.706899585727783,30.25028094624891,4431595
162,2008-06-03,28.058679580688477,29.01557473104466,27.796303922250974,28.70689847092753,6240766
163,2008-06-04,27.194377899169922,28.228441820450854,27.024605585722526,27.935199875411314,5762089
164,2008-06-05,27.148067474365234,27.348708185157697,26.237473444388616,27.163501697248297,9721099
165,2008-06-06,26.85483169555664,27.98150091439834,26.468986502804857,27.009169772657355,6317089
166,2008-06-09,26.484426498413086,27.1326474007788,25.31145643826515,26.546161324032536,6500809
167,2008-06-10,26.299211502075195,26.51528646253084,25.697293481784023,26.23747669623527,6717902
168,2008-06-11,26.422685623168945,26.854831396907446,26.237479095370087,26.546155246138767,2586175
169,2008-06-12,26.60788917541504,26.76222724568216,25.31144980384003,26.083140155175634,3244212
170,2008-06-13,26.438125610351562,26.82397088288967,26.16031575811738,26.56159526022593,4248430
171,2008-06-16,27.36414337158203,27.780854844035854,26.577018910266485,26.669622157481914,4354615
172,2008-06-17,28.182138442993164,28.39821132356865,26.885699066196178,27.749992681842187,4736084
173,2008-06-18,28.151268005371094,28.768622338715186,28.08953320003986,28.08953320003986,5055019
174,2008-06-19,27.54933738708496,28.089520349968414,27.101757636507262,27.595640039909316,4221271
175,2008-06-20,26.916566848754883,27.888898002815083,26.561590104263423,27.780860510138115,3837789
176,2008-06-23,25.975109100341797,26.793102331307086,25.712735571927876,26.700499047548526,4516050
177,2008-06-24,25.172550201416016,26.360954380083616,24.910174600408027,25.975107046047704,5238203
178,2008-06-25,24.478031158447266,24.987346088556816,23.92241353892664,24.694104095665118,3933879
179,2008-06-26,25.8670711517334,26.97830626151641,24.616932176563605,24.616932176563605,18253250
180,2008-06-27,24.724966049194336,25.55839337640348,24.586062192440888,25.00277585604546,6821283
181,2008-06-30,24.2310848236084,24.941040409796017,23.536563464079155,24.709533289952937,4596315
182,2008-07-01,22.51793098449707,24.231084034192502,21.65363734657158,24.231084034192502,6202295
183,2008-07-02,23.50568962097168,23.752630910850172,21.80797113140465,22.533360777920773,5245963
184,2008-07-03,22.888338088989258,23.5056902844389,22.224685316218395,23.30505165825527,4726793
185,2008-07-04,23.197019577026367,23.644599604063178,22.37902856531579,22.533366650041877,4862814
186,2008-07-07,23.706336975097656,24.663234040901507,23.505698280660305,23.505698280660305,5528014
187,2008-07-08,24.400856018066406,25.002774083556506,21.916010532987205,21.916010532987205,8354280
188,2008-07-09,26.098575592041016,26.206610990235223,24.72496502824255,24.72496502824255,6860769
189,2008-07-10,27.240676879882812,27.56478726036289,25.373185728872965,26.098575528359614,7216175
190,2008-07-11,25.944238662719727,27.842596261773604,25.743597897175864,27.5030537324093,6040791
191,2008-07-14,25.959671020507812,26.88570162740076,25.311452317030284,25.311452317030284,5942149
192,2008-07-15,24.879314422607422,25.589270320392227,24.694109901453846,25.311462491989307,3693378
193,2008-07-16,24.200218200683594,25.31145329731671,23.78350451611009,24.87930538491746,6973872
194,2008-07-17,25.434917449951172,25.620123957244484,24.69409560746571,24.69409560746571,5038238
195,2008-07-18,26.85483169555664,27.070904584828813,25.14167862106989,25.897934780194557,5983177
196,2008-07-21,28.367340087890625,28.5371123553463,26.87026022034108,27.317840130292442,8754188
197,2008-07-22,29.524885177612305,29.787258683710597,28.120408091205267,28.367349462443492,12631056
198,2008-07-23,31.60844612121582,32.22579843733256,30.281138222896008,30.836755726069903,12798869
199,2008-07-24,30.497203826904297,32.19492229051892,28.59884674583632,28.59884674583632,10764301
200,2008-07-25,30.558950424194336,31.546715949994315,29.40141466115794,30.17310516984887,10710381
201,2008-07-28,30.3120059967041,31.160865412340456,29.97246139311191,30.558945242941196,5533881
202,2008-07-29,29.09273338317871,30.0959308694941,28.86122627095208,29.632916645040844,5145929
203,2008-07-30,30.3120059967041,30.558945242941196,29.355109090830922,29.355109090830922,7354746
204,2008-07-31,29.2470760345459,30.836759709927126,28.86123078712489,30.836759709927126,6006517
205,2008-08-01,30.095928192138672,30.219399897015208,27.780857275822754,28.784054672892985,4699412
206,2008-08-04,30.28113555908203,30.83675301337858,29.494011006607252,29.494011006607252,4301346
207,2008-08-05,31.639314651489258,31.870821770597402,30.095931764090814,30.40460792290167,9161115
208,2008-08-06,30.836763381958008,32.76598984879467,30.620690436341242,32.76598984879467,8616591
209,2008-08-07,30.759593963623047,31.45411548356344,29.802696809922864,29.802696809922864,4809365
210,2008-08-08,30.234840393066406,30.991096630589233,30.126802890558423,30.4046106208013,4883824
211,2008-08-11,30.51264190673828,30.960221866871567,30.28113481425445,30.620679387234976,2714705
212,2008-08-12,29.987899780273438,30.86762777042711,29.756392634795564,30.71328758009745,5801276
213,2008-08-13,30.111366271972656,30.404608206913323,29.401410681407107,29.632917802677774,2754609
214,2008-08-14,29.385974884033203,30.25026635433824,29.324237984716618,29.941590231131034,2566362
215,2008-08-18,29.04643440246582,29.941594448515765,28.768626689786657,29.32424211514498,2963058
216,2008-08-19,28.506248474121094,29.16990133377336,27.919762555658497,29.000131132474433,2941144
217,2008-08-20,28.830364227294922,29.061871374173307,28.629723443993665,28.706892492953127,3319410
218,2008-08-21,28.521682739257812,29.000131172699238,28.18213814950092,28.706887166389176,4138486
219,2008-08-22,28.22844886779785,29.50945655876038,27.5030609377455,29.50945655876038,4139879
220,2008-08-25,28.537118911743164,28.92296411127041,28.336478151982487,28.92296411127041,2034227
221,2008-08-26,28.583415985107422,28.67601924028076,28.058666996917086,28.243871413919834,1489491
222,2008-08-27,28.012380599975586,28.938409503114105,27.8580424494525,28.73777074477215,4297168
223,2008-08-28,27.595661163330078,28.398218066506264,27.240682259992436,28.08954185143591,7382078
224,2008-08-29,28.737760543823242,28.84579804817774,27.966070065132257,28.089539704385057,2219080
225,2008-09-01,28.72220230102539,28.84660728356956,28.146824511052962,28.675548850669447,3417069
226,2008-09-02,30.230627059936523,30.355032055946644,28.67555195459355,28.924364055816536,5030404
227,2008-09-04,29.593053817749023,30.137329497129798,29.344241656762883,29.888517336143654,2813325
228,2008-09-05,28.939910888671875,29.26647659096572,28.613345186378027,29.235374292003478,3330688
229,2008-09-08,30.463891983032227,31.692399388387543,30.168426387863203,30.479441027659636,8377948
230,2008-09-09,30.572736740112305,30.821548799720144,29.872954008891597,30.463882914110517,3737279
231,2008-09-10,30.30837631225586,30.821549482843974,30.012910798496556,30.417230140670267,3847698
232,2008-09-11,29.4997501373291,30.168430868523693,29.266489122837502,30.168430868523693,2567354
233,2008-09-12,29.795202255249023,30.603840972782667,29.313129254765602,29.701897463348597,6093354
234,2008-09-15,27.913558959960938,29.15761701599902,27.073820193975667,28.70664639252565,6770268
235,2008-09-16,28.457843780517578,28.706655895935498,26.436248770201637,26.825017041416242,4654621
236,2008-09-17,27.72696304321289,28.86216564757205,27.36929493789753,28.86216564757205,4674190
237,2008-09-18,27.664756774902344,28.20903236816805,25.674264020354627,27.369293303255827,6603710
238,2008-09-19,29.344240188598633,29.49974751778415,27.991325581003334,28.31789139413356,9821730
239,2008-09-22,28.706655502319336,31.41248432023384,28.473394542788974,30.168423760202394,4162514
240,2008-09-23,28.364534378051758,29.002114661385505,27.835810036702746,28.36453437805176,6569683
241,2008-09-24,29.017671585083008,29.32868621354639,28.08462769969286,28.45784483200833,5730103
